"id","Gender","Age","Educ.lvl","WDP.Theil","WDP.Gini","WDP.Atkinson","k2all","k2strong","ext.right","ext.left"
365,"M",5,2,0,0,0,1,1,0,1
366,"F",5,6,0,0,0,1,0,0,0
367,"M",4,2,0,0,0,1,1,0,0
368,"F",4,NA,NA,NA,NA,0,0,NA,NA
369,"F",4,6,1,1,1,1,0,0,0
370,"F",6,6,1,1,1,1,0,0,0
371,"M",7,5,0,1,0,1,1,0,0
372,"F",5,NA,NA,NA,NA,0,0,NA,NA
373,"F",6,NA,1,1,1,1,1,0,0
374,"M",5,NA,0,0,0,1,0,0,1
375,"M",4,2,0,0,0,0,0,0,0
376,"F",7,1,NA,NA,NA,0,0,NA,NA
377,NA,NA,4,0,NA,1,0,0,1,NA
378,"F",6,3,0,0,0,1,0,0,0
379,"M",5,4,NA,NA,NA,0,0,NA,NA
380,"M",2,6,1,1,1,1,0,0,0
381,"M",5,6,0,NA,0,0,0,NA,NA
382,"F",6,2,NA,NA,NA,0,0,NA,NA
383,"F",6,6,0,0,0,1,0,0,0
384,"M",3,6,0,0,0,1,0,0,0
385,"M",2,6,1,1,1,1,0,0,1
386,"M",2,5,0,0,0,0,0,0,0
387,"F",5,3,1,1,1,0,0,0,1
388,NA,NA,3,NA,NA,NA,0,0,NA,NA
389,"F",4,6,1,1,1,1,0,0,0
390,"M",5,6,1,1,1,0,0,0,0
391,"F",2,5,1,1,1,1,1,0,0
392,"M",5,5,0,0,0,1,0,0,0
393,"M",5,6,0,0,0,0,0,0,0
394,"F",4,6,1,0,1,1,1,0,1
395,"F",2,5,1,1,1,0,0,0,0
396,"F",3,2,0,0,0,1,1,0,0
397,"F",5,6,NA,NA,NA,0,0,0,0
398,"F",2,5,1,1,1,1,0,0,0
399,"F",2,5,1,1,1,1,1,0,0
400,"M",2,5,1,1,0,0,0,0,0
401,"M",2,5,1,1,1,1,1,0,1
402,"M",7,5,0,0,0,1,1,0,0
403,"M",3,6,0,0,0,1,1,0,0
404,"M",4,6,1,1,1,1,1,0,0
405,"F",6,6,0,0,0,1,1,0,0
406,"F",4,6,1,1,1,1,1,0,0
407,"F",5,2,0,0,0,1,1,0,0
408,"F",6,6,0,0,0,1,1,0,1
409,"F",3,6,1,1,1,0,0,0,0
410,"M",3,6,1,1,0,1,0,0,0
411,"F",3,5,0,0,0,0,0,0,0
412,"F",4,6,1,1,1,1,0,0,0
413,NA,NA,4,NA,NA,NA,0,0,NA,NA
414,"M",7,6,NA,NA,NA,0,0,NA,NA
415,"F",2,6,0,0,0,1,0,0,0
416,"F",2,6,0,0,0,1,0,0,0
417,"M",2,6,0,1,0,0,0,0,0
418,"F",3,6,0,0,0,1,0,0,0
419,"M",4,6,1,1,1,1,0,0,0
420,"M",6,6,0,0,0,1,0,0,0
421,"M",3,5,1,1,1,1,0,0,1
422,"M",3,6,0,0,0,1,0,0,0
423,"M",4,2,1,1,1,1,0,0,1
424,"F",6,6,0,0,0,0,0,0,0
425,"M",6,1,0,NA,0,1,1,0,1
426,"F",5,6,0,0,0,1,0,0,0
427,"M",3,6,1,1,1,1,1,0,0
428,"M",4,6,1,1,1,1,0,0,0
429,"F",5,5,0,1,0,1,0,0,0
430,"M",4,6,0,0,0,1,0,0,0
