"id","Gender","Age","studies","WDP.Theil","WDP.Gini","WDP.Atkinson"
1100,"f","30-39","secondaire",0,0,0
1103,"h","40-49","superieur",1,0,1
1104,"f","30-39","superieur",0,0,0
1107,"h","40-49","superieur",1,0,1
1109,"h","18-29","superieur",1,1,1
1110,"h","40-49","superieur",0,0,0
1111,"f","30-39","superieur",0,0,0
1113,"h","30-39","superieur",0,0,0
1114,"h","30-39","superieur",0,0,0
1115,"f","40-49","superieur",0,NA,0
1118,"f","18-29","superieur",0,0,0
1119,"h","40-49","superieur",0,0,0
1120,"h","18-29","superieur",1,1,1
1121,"h","40-49","superieur",1,0,1
1123,"h","30-39","superieur",1,1,1
1124,"h","18-29","superieur",1,1,1
1125,"h","18-29","nspp",1,1,1
1126,"h","18-29","superieur",1,1,1
1130,"h","40-49","superieur",1,0,1
1132,"h","18-29","superieur",1,1,1
1136,"h","18-29","superieur",1,0,1
1139,"f","50-59","superieur",1,0,1
1141,"h","18-29","superieur",1,1,1
1143,"h","40-49","superieur",1,1,1
1145,"h","50-59","superieur",1,1,1
1147,"h","18-29","superieur",1,1,1
1149,"h","30-39","superieur",0,0,0
1152,"h","30-39","superieur",1,1,1
1153,"h","18-29","superieur",1,0,1
1156,"f","18-29","superieur",1,0,1
1158,"nspp","18-29","superieur",1,1,1
1159,"f","18-29","superieur",1,1,1
1160,"f","18-29","superieur",0,0,0
1163,"h","30-39","superieur",1,1,1
1164,"h","18-29","superieur",1,0,1
1165,"h","18-29","superieur",1,0,0
1166,"h","18-29","superieur",0,0,0
1167,"h","30-39","superieur",1,1,1
1168,"","18-29","superieur",1,1,1
1169,"h","50-59","superieur",1,1,1
1170,"h","18-29","superieur",1,1,1
1172,"h","18-29","superieur",1,1,1
1173,"h","18-29","superieur",1,1,1
1174,"f","18-29","superieur",0,0,0
1176,"h","18-29","superieur",1,1,1
1179,"h","18-29","superieur",0,0,0
1183,"f","18-29","superieur",0,0,0
1184,"h","18-29","superieur",0,0,0
1185,"h","30-39","superieur",1,1,1
1187,"h","18-29","superieur",1,1,1
1188,"h","30-39","superieur",1,0,1
1192,"h","30-39","superieur",0,NA,0
1193,"h","30-39","superieur",0,0,0
1194,"h","18-29","superieur",1,1,1
1195,"h","18-29","superieur",0,0,0
1196,"f","18-29","superieur",0,0,0
1197,"f","30-39","superieur",1,1,1
1198,"nspp","18-29","superieur",1,1,1
1199,"nspp","30-39","superieur",1,1,1
1207,"h","40-49","secondaire",0,0,0
1208,"h","30-39","superieur",1,0,1
1209,"h","30-39","secondaire",0,0,0
1212,"nspp","18-29","superieur",1,1,1
1213,"nspp","40-49","superieur",1,1,1
1216,"h","18-29","superieur",1,1,1
1219,"h","40-49","superieur",1,1,1
1220,"h","18-29","superieur",1,1,1
1221,"h","18-29","superieur",1,1,1
1224,"f","18-29","superieur",1,1,1
