"id","avg.match","optk2","phi.value","AGE","GENDER","EDUC","WORK","Educ.lvl"
65,0.818181818181818,"k=2",0.69,"18"," F"," S"," PRI",3
67,1,"k=2",1,"18"," M"," S"," ETU",3
69,0.727272727272727,"k=2",0.52,"18"," F"," S"," PRI",3
71,0.909090909090909,"k=2+",0.81,"18"," M"," S"," PRI",3
74,0.636363636363636,"k=2+",0.46,"18"," F"," S"," PUB",3
75,0.818181818181818,"k=2",0.62,"30"," F"," S"," ART",3
76,0.545454545454545,"k=2+",0.38,"18"," M"," S"," PRI",3
77,0.909090909090909,"k=2",0.67,"70"," M"," S"," RET",3
81,1,"k=2+",1,"60"," M",NA," AUT",NA
86,0.727272727272727,"k=2",0.52,"40"," F"," S"," ART",3
87,0.363636363636364,"k=2",0.22,"60"," F","2"," AUT",2
89,0.909090909090909,"k=2",0.77,"40"," M"," S"," PUB",3
91,0.545454545454545,"k=2+",0.36,"40"," F"," S"," PRI",3
97,0.727272727272727,"k=2",0.42,"50"," M","2"," ART",2
99,1,"k=2",1,"40"," F","2"," CHO",2
100,0.727272727272727,"k=2+",0.52,"30"," M"," S"," PUB",3
101,1,"k=2",1,"18"," F"," S"," ETU",3
102,0.818181818181818,"k=2+",0.62,"30"," M","2"," PRI",2
103,0.818181818181818,"k=2",0.52,"60"," F"," S"," RET",3
104,0.818181818181818,"k=2+",0.62,"70"," M"," S"," RET",3
105,1,"k=2+",1,"30"," M"," S"," PUB",3
107,0.636363636363636,"k=2",0.46,"30"," F"," S"," PRI",3
108,0.727272727272727,"k=2",0.52,"18"," M"," S"," PRI",3
110,0.727272727272727,"k=2",0.42,"60"," F","2"," RET",2
112,0.909090909090909,"k=2+",0.81,"18"," F"," S"," ETU",3
115,1,"k=2+",1,"60"," F"," S"," ART",3
117,1,"k=2",1,"40"," M"," S"," ART",3
118,1,"k=2+",1,"18",NA," S"," PRI",3
119,1,"k=2",1,"18"," F"," S"," ETU",3
120,1,"k=2",1,"30"," F"," S"," ART",3
121,0.909090909090909,"k=2",0.77,"30"," F"," S"," PUB",3
122,0.909090909090909,"k=2",0.77,"30"," M"," S"," PRI",3
123,0.636363636363636,"k=2+",0.43,"40"," F"," S"," PRI",3
124,0.727272727272727,"k=2+",0.52,"60"," M"," S"," CHO",3
127,0.454545454545455,"k=2+",0.29,"18"," F"," S"," PUB",3
129,1,"k=2",1,"40"," F"," S"," ART",3
130,0.727272727272727,"k=2",0.52,"30"," F"," S"," PRI",3
132,0.545454545454545,"k=2+",NA,"60"," F","2"," RET",2
133,1,"k=2",1,"30"," M"," S"," PRI",3
136,0.818181818181818,"k=2",0.52,"30"," M"," S"," PRI",3
138,0.909090909090909,"k=2",0.67,"60"," M"," S"," ART",3
139,0.909090909090909,"k=2",0.83,"40"," F"," S"," PUB",3
141,1,"k=2+",1,"30"," M"," S"," PRI",3
142,1,"k=2",1,"18"," F"," S"," ETU",3
143,0.818181818181818,"k=2",0.67,"50"," F"," S"," AUT",3
144,0.727272727272727,"k=2+",0.52,"70"," F"," S"," RET",3
145,0.909090909090909,"k=2+",0.83,"18"," M"," S",NA,3
147,0.909090909090909,"k=2+",0.67,"60"," F"," S"," RET",3
148,0.363636363636364,"k=2",0.22,"40"," M","2"," PRI",2
149,0.818181818181818,"k=2+",0.62,"70"," F"," S"," RET",3
150,0.909090909090909,"k=2",0.81,"50"," M"," S"," PRI",3
152,0.909090909090909,"k=2+",0.83,"18"," M"," S"," ETU",3
153,0.818181818181818,"k=2",0.67,"18"," F"," S"," ETU",3
155,0.909090909090909,"k=2",0.77,"50"," M"," S"," PRI",3
158,0.818181818181818,"k=2",0.52,"50"," F"," S"," PUB",3
159,1,"k=2",1,"18"," F"," S"," PRI",3
160,0.636363636363636,"k=2+",0.43,"18"," F"," S"," AUT",3
162,1,"k=2",1,"40"," F"," S"," CHO",3
164,0.636363636363636,"k=2+",0.46,"18"," F"," S"," PUB",3
165,1,"k=2",1,"60"," M","2"," RET",2
166,1,"k=2+",1,"30"," F"," S"," PUB",3
168,0.909090909090909,"k=2",0.83,"50"," M"," S"," AUT",3
170,0.909090909090909,"k=2+",0.77,"50"," M"," S"," PRI",3
